week_period,week_start,week_end,official_holiday_days
2000-02-14/2000-02-20,2000-02-14,2000-02-20,0
2000-02-21/2000-02-27,2000-02-21,2000-02-27,0
2000-02-28/2000-03-05,2000-02-28,2000-03-05,0
2000-03-06/2000-03-12,2000-03-06,2000-03-12,0
2000-03-13/2000-03-19,2000-03-13,2000-03-19,2
2000-03-20/2000-03-26,2000-03-20,2000-03-26,5
2000-03-27/2000-04-02,2000-03-27,2000-04-02,2
2000-04-03/2000-04-09,2000-04-03,2000-04-09,0
2000-04-10/2000-04-16,2000-04-10,2000-04-16,2
2000-04-17/2000-04-23,2000-04-17,2000-04-23,0
2000-04-24/2000-04-30,2000-04-24,2000-04-30,0
2000-05-01/2000-05-07,2000-05-01,2000-05-07,0
2000-05-08/2000-05-14,2000-05-08,2000-05-14,0
2000-05-15/2000-05-21,2000-05-15,2000-05-21,0
2000-05-22/2000-05-28,2000-05-22,2000-05-28,1
2000-05-29/2000-06-04,2000-05-29,2000-06-04,3
2000-06-05/2000-06-11,2000-06-05,2000-06-11,1
2000-06-12/2000-06-18,2000-06-12,2000-06-18,0
2000-06-19/2000-06-25,2000-06-19,2000-06-25,1
2000-06-26/2000-07-02,2000-06-26,2000-07-02,0
2000-07-03/2000-07-09,2000-07-03,2000-07-09,0
2000-07-10/2000-07-16,2000-07-10,2000-07-16,0
2000-07-17/2000-07-23,2000-07-17,2000-07-23,0
2000-07-24/2000-07-30,2000-07-24,2000-07-30,0
2000-07-31/2000-08-06,2000-07-31,2000-08-06,0
2000-08-07/2000-08-13,2000-08-07,2000-08-13,0
2000-08-14/2000-08-20,2000-08-14,2000-08-20,0
2000-08-21/2000-08-27,2000-08-21,2000-08-27,0
2000-08-28/2000-09-03,2000-08-28,2000-09-03,1
2000-09-04/2000-09-10,2000-09-04,2000-09-10,0
2000-09-11/2000-09-17,2000-09-11,2000-09-17,0
2000-09-18/2000-09-24,2000-09-18,2000-09-24,0
2000-09-25/2000-10-01,2000-09-25,2000-10-01,0
2000-10-02/2000-10-08,2000-10-02,2000-10-08,0
2000-10-09/2000-10-15,2000-10-09,2000-10-15,1
2000-10-16/2000-10-22,2000-10-16,2000-10-22,0
2000-10-23/2000-10-29,2000-10-23,2000-10-29,1
2000-10-30/2000-11-05,2000-10-30,2000-11-05,0
2000-11-06/2000-11-12,2000-11-06,2000-11-12,1
2000-11-13/2000-11-19,2000-11-13,2000-11-19,0
2000-11-20/2000-11-26,2000-11-20,2000-11-26,0
2000-11-27/2000-12-03,2000-11-27,2000-12-03,0
2000-12-04/2000-12-10,2000-12-04,2000-12-10,0
2000-12-11/2000-12-17,2000-12-11,2000-12-17,0
2000-12-18/2000-12-24,2000-12-18,2000-12-24,1
2000-12-25/2000-12-31,2000-12-25,2000-12-31,1
2001-01-01/2001-01-07,2001-01-01,2001-01-07,0
2001-01-08/2001-01-14,2001-01-08,2001-01-14,0
2001-01-15/2001-01-21,2001-01-15,2001-01-21,1
2001-01-22/2001-01-28,2001-01-22,2001-01-28,0
2001-01-29/2001-02-04,2001-01-29,2001-02-04,0
2001-02-05/2001-02-11,2001-02-05,2001-02-11,1
2001-02-12/2001-02-18,2001-02-12,2001-02-18,0
2001-02-19/2001-02-25,2001-02-19,2001-02-25,0
2001-02-26/2001-03-04,2001-02-26,2001-03-04,0
2001-03-05/2001-03-11,2001-03-05,2001-03-11,1
2001-03-12/2001-03-18,2001-03-12,2001-03-18,1
2001-03-19/2001-03-25,2001-03-19,2001-03-25,6
2001-03-26/2001-04-01,2001-03-26,2001-04-01,1
2001-04-02/2001-04-08,2001-04-02,2001-04-08,3
2001-04-09/2001-04-15,2001-04-09,2001-04-15,0
2001-04-16/2001-04-22,2001-04-16,2001-04-22,0
2001-04-23/2001-04-29,2001-04-23,2001-04-29,0
2001-04-30/2001-05-06,2001-04-30,2001-05-06,0
2001-05-07/2001-05-13,2001-05-07,2001-05-13,0
2001-05-14/2001-05-20,2001-05-14,2001-05-20,1
2001-05-21/2001-05-27,2001-05-21,2001-05-27,2
2001-05-28/2001-06-03,2001-05-28,2001-06-03,1
2001-06-04/2001-06-10,2001-06-04,2001-06-10,3
2001-06-11/2001-06-17,2001-06-11,2001-06-17,0
2001-06-18/2001-06-24,2001-06-18,2001-06-24,0
2001-06-25/2001-07-01,2001-06-25,2001-07-01,0
2001-07-02/2001-07-08,2001-07-02,2001-07-08,0
2001-07-09/2001-07-15,2001-07-09,2001-07-15,0
2001-07-16/2001-07-22,2001-07-16,2001-07-22,0
2001-07-23/2001-07-29,2001-07-23,2001-07-29,0
2001-07-30/2001-08-05,2001-07-30,2001-08-05,0
2001-08-06/2001-08-12,2001-08-06,2001-08-12,0
2001-08-13/2001-08-19,2001-08-13,2001-08-19,0
2001-08-20/2001-08-26,2001-08-20,2001-08-26,1
2001-08-27/2001-09-02,2001-08-27,2001-09-02,0
2001-09-03/2001-09-09,2001-09-03,2001-09-09,0
2001-09-10/2001-09-16,2001-09-10,2001-09-16,0
2001-09-17/2001-09-23,2001-09-17,2001-09-23,0
2001-09-24/2001-09-30,2001-09-24,2001-09-30,0
2001-10-01/2001-10-07,2001-10-01,2001-10-07,1
2001-10-08/2001-10-14,2001-10-08,2001-10-14,0
2001-10-15/2001-10-21,2001-10-15,2001-10-21,1
2001-10-22/2001-10-28,2001-10-22,2001-10-28,0
2001-10-29/2001-11-04,2001-10-29,2001-11-04,1
2001-11-05/2001-11-11,2001-11-05,2001-11-11,0
2001-11-12/2001-11-18,2001-11-12,2001-11-18,0
2001-11-19/2001-11-25,2001-11-19,2001-11-25,0
2001-11-26/2001-12-02,2001-11-26,2001-12-02,0
2001-12-03/2001-12-09,2001-12-03,2001-12-09,1
2001-12-10/2001-12-16,2001-12-10,2001-12-16,1
2001-12-17/2001-12-23,2001-12-17,2001-12-23,0
2001-12-24/2001-12-30,2001-12-24,2001-12-30,0
2001-12-31/2002-01-06,2001-12-31,2002-01-06,0
2002-01-07/2002-01-13,2002-01-07,2002-01-13,1
2002-01-14/2002-01-20,2002-01-14,2002-01-20,0
2002-01-21/2002-01-27,2002-01-21,2002-01-27,0
2002-01-28/2002-02-03,2002-01-28,2002-02-03,0
2002-02-04/2002-02-10,2002-02-04,2002-02-10,0
2002-02-11/2002-02-17,2002-02-11,2002-02-17,1
2002-02-18/2002-02-24,2002-02-18,2002-02-24,1
2002-02-25/2002-03-03,2002-02-25,2002-03-03,1
2002-03-04/2002-03-10,2002-03-04,2002-03-10,0
2002-03-11/2002-03-17,2002-03-11,2002-03-17,0
2002-03-18/2002-03-24,2002-03-18,2002-03-24,5
2002-03-25/2002-03-31,2002-03-25,2002-03-31,1
2002-04-01/2002-04-07,2002-04-01,2002-04-07,2
2002-04-08/2002-04-14,2002-04-08,2002-04-14,0
2002-04-15/2002-04-21,2002-04-15,2002-04-21,0
2002-04-22/2002-04-28,2002-04-22,2002-04-28,0
2002-04-29/2002-05-05,2002-04-29,2002-05-05,1
2002-05-06/2002-05-12,2002-05-06,2002-05-12,1
2002-05-13/2002-05-19,2002-05-13,2002-05-19,1
2002-05-20/2002-05-26,2002-05-20,2002-05-26,1
2002-05-27/2002-06-02,2002-05-27,2002-06-02,1
2002-06-03/2002-06-09,2002-06-03,2002-06-09,2
2002-06-10/2002-06-16,2002-06-10,2002-06-16,0
2002-06-17/2002-06-23,2002-06-17,2002-06-23,0
2002-06-24/2002-06-30,2002-06-24,2002-06-30,0
2002-07-01/2002-07-07,2002-07-01,2002-07-07,0
2002-07-08/2002-07-14,2002-07-08,2002-07-14,0
2002-07-15/2002-07-21,2002-07-15,2002-07-21,0
2002-07-22/2002-07-28,2002-07-22,2002-07-28,0
2002-07-29/2002-08-04,2002-07-29,2002-08-04,0
2002-08-05/2002-08-11,2002-08-05,2002-08-11,0
2002-08-12/2002-08-18,2002-08-12,2002-08-18,1
2002-08-19/2002-08-25,2002-08-19,2002-08-25,0
2002-08-26/2002-09-01,2002-08-26,2002-09-01,0
2002-09-02/2002-09-08,2002-09-02,2002-09-08,0
2002-09-09/2002-09-15,2002-09-09,2002-09-15,0
2002-09-16/2002-09-22,2002-09-16,2002-09-22,1
2002-09-23/2002-09-29,2002-09-23,2002-09-29,0
2002-09-30/2002-10-06,2002-09-30,2002-10-06,1
2002-10-07/2002-10-13,2002-10-07,2002-10-13,0
2002-10-14/2002-10-20,2002-10-14,2002-10-20,0
2002-10-21/2002-10-27,2002-10-21,2002-10-27,1
2002-10-28/2002-11-03,2002-10-28,2002-11-03,0
2002-11-04/2002-11-10,2002-11-04,2002-11-10,0
2002-11-11/2002-11-17,2002-11-11,2002-11-17,0
2002-11-18/2002-11-24,2002-11-18,2002-11-24,0
2002-11-25/2002-12-01,2002-11-25,2002-12-01,1
2002-12-02/2002-12-08,2002-12-02,2002-12-08,1
2002-12-09/2002-12-15,2002-12-09,2002-12-15,0
2002-12-16/2002-12-22,2002-12-16,2002-12-22,0
2002-12-23/2002-12-29,2002-12-23,2002-12-29,0
2002-12-30/2003-01-05,2002-12-30,2003-01-05,1
2003-01-06/2003-01-12,2003-01-06,2003-01-12,0
2003-01-13/2003-01-19,2003-01-13,2003-01-19,0
2003-01-20/2003-01-26,2003-01-20,2003-01-26,0
2003-01-27/2003-02-02,2003-01-27,2003-02-02,0
2003-02-03/2003-02-09,2003-02-03,2003-02-09,0
2003-02-10/2003-02-16,2003-02-10,2003-02-16,2
2003-02-17/2003-02-23,2003-02-17,2003-02-23,1
2003-02-24/2003-03-02,2003-02-24,2003-03-02,0
2003-03-03/2003-03-09,2003-03-03,2003-03-09,0
2003-03-10/2003-03-16,2003-03-10,2003-03-16,2
2003-03-17/2003-03-23,2003-03-17,2003-03-23,4
2003-03-24/2003-03-30,2003-03-24,2003-03-30,1
2003-03-31/2003-04-06,2003-03-31,2003-04-06,2
2003-04-07/2003-04-13,2003-04-07,2003-04-13,0
2003-04-14/2003-04-20,2003-04-14,2003-04-20,0
2003-04-21/2003-04-27,2003-04-21,2003-04-27,1
2003-04-28/2003-05-04,2003-04-28,2003-05-04,2
2003-05-05/2003-05-11,2003-05-05,2003-05-11,1
2003-05-12/2003-05-18,2003-05-12,2003-05-18,0
2003-05-19/2003-05-25,2003-05-19,2003-05-25,1
2003-05-26/2003-06-01,2003-05-26,2003-06-01,0
2003-06-02/2003-06-08,2003-06-02,2003-06-08,2
2003-06-09/2003-06-15,2003-06-09,2003-06-15,0
2003-06-16/2003-06-22,2003-06-16,2003-06-22,0
2003-06-23/2003-06-29,2003-06-23,2003-06-29,0
2003-06-30/2003-07-06,2003-06-30,2003-07-06,0
2003-07-07/2003-07-13,2003-07-07,2003-07-13,0
2003-07-14/2003-07-20,2003-07-14,2003-07-20,0
2003-07-21/2003-07-27,2003-07-21,2003-07-27,0
2003-07-28/2003-08-03,2003-07-28,2003-08-03,1
2003-08-04/2003-08-10,2003-08-04,2003-08-10,0
2003-08-11/2003-08-17,2003-08-11,2003-08-17,0
2003-08-18/2003-08-24,2003-08-18,2003-08-24,0
2003-08-25/2003-08-31,2003-08-25,2003-08-31,0
2003-09-01/2003-09-07,2003-09-01,2003-09-07,0
2003-09-08/2003-09-14,2003-09-08,2003-09-14,1
2003-09-15/2003-09-21,2003-09-15,2003-09-21,0
2003-09-22/2003-09-28,2003-09-22,2003-09-28,1
2003-09-29/2003-10-05,2003-09-29,2003-10-05,0
2003-10-06/2003-10-12,2003-10-06,2003-10-12,1
2003-10-13/2003-10-19,2003-10-13,2003-10-19,0
2003-10-20/2003-10-26,2003-10-20,2003-10-26,0
2003-10-27/2003-11-02,2003-10-27,2003-11-02,0
2003-11-03/2003-11-09,2003-11-03,2003-11-09,0
2003-11-10/2003-11-16,2003-11-10,2003-11-16,1
2003-11-17/2003-11-23,2003-11-17,2003-11-23,0
2003-11-24/2003-11-30,2003-11-24,2003-11-30,1
2003-12-01/2003-12-07,2003-12-01,2003-12-07,0
2003-12-08/2003-12-14,2003-12-08,2003-12-14,0
2003-12-15/2003-12-21,2003-12-15,2003-12-21,1
2003-12-22/2003-12-28,2003-12-22,2003-12-28,0
2003-12-29/2004-01-04,2003-12-29,2004-01-04,0
2004-01-05/2004-01-11,2004-01-05,2004-01-11,0
2004-01-12/2004-01-18,2004-01-12,2004-01-18,0
2004-01-19/2004-01-25,2004-01-19,2004-01-25,0
2004-01-26/2004-02-01,2004-01-26,2004-02-01,0
2004-02-02/2004-02-08,2004-02-02,2004-02-08,1
2004-02-09/2004-02-15,2004-02-09,2004-02-15,2
2004-02-16/2004-02-22,2004-02-16,2004-02-22,0
2004-02-23/2004-02-29,2004-02-23,2004-02-29,0
2004-03-01/2004-03-07,2004-03-01,2004-03-07,2
2004-03-08/2004-03-14,2004-03-08,2004-03-14,0
2004-03-15/2004-03-21,2004-03-15,2004-03-21,3
2004-03-22/2004-03-28,2004-03-22,2004-03-28,2
2004-03-29/2004-04-04,2004-03-29,2004-04-04,2
2004-04-05/2004-04-11,2004-04-05,2004-04-11,1
2004-04-12/2004-04-18,2004-04-12,2004-04-18,0
2004-04-19/2004-04-25,2004-04-19,2004-04-25,2
2004-04-26/2004-05-02,2004-04-26,2004-05-02,1
2004-05-03/2004-05-09,2004-05-03,2004-05-09,1
2004-05-10/2004-05-16,2004-05-10,2004-05-16,0
2004-05-17/2004-05-23,2004-05-17,2004-05-23,0
2004-05-24/2004-05-30,2004-05-24,2004-05-30,0
2004-05-31/2004-06-06,2004-05-31,2004-06-06,2
2004-06-07/2004-06-13,2004-06-07,2004-06-13,0
2004-06-14/2004-06-20,2004-06-14,2004-06-20,0
2004-06-21/2004-06-27,2004-06-21,2004-06-27,0
2004-06-28/2004-07-04,2004-06-28,2004-07-04,0
2004-07-05/2004-07-11,2004-07-05,2004-07-11,0
2004-07-12/2004-07-18,2004-07-12,2004-07-18,0
2004-07-19/2004-07-25,2004-07-19,2004-07-25,1
2004-07-26/2004-08-01,2004-07-26,2004-08-01,0
2004-08-02/2004-08-08,2004-08-02,2004-08-08,0
2004-08-09/2004-08-15,2004-08-09,2004-08-15,0
2004-08-16/2004-08-22,2004-08-16,2004-08-22,0
2004-08-23/2004-08-29,2004-08-23,2004-08-29,0
2004-08-30/2004-09-05,2004-08-30,2004-09-05,1
2004-09-06/2004-09-12,2004-09-06,2004-09-12,0
2004-09-13/2004-09-19,2004-09-13,2004-09-19,1
2004-09-20/2004-09-26,2004-09-20,2004-09-26,0
2004-09-27/2004-10-03,2004-09-27,2004-10-03,1
2004-10-04/2004-10-10,2004-10-04,2004-10-10,0
2004-10-11/2004-10-17,2004-10-11,2004-10-17,0
2004-10-18/2004-10-24,2004-10-18,2004-10-24,0
2004-10-25/2004-10-31,2004-10-25,2004-10-31,0
2004-11-01/2004-11-07,2004-11-01,2004-11-07,1
2004-11-08/2004-11-14,2004-11-08,2004-11-14,1
2004-11-15/2004-11-21,2004-11-15,2004-11-21,0
2004-11-22/2004-11-28,2004-11-22,2004-11-28,0
2004-11-29/2004-12-05,2004-11-29,2004-12-05,0
2004-12-06/2004-12-12,2004-12-06,2004-12-12,1
2004-12-13/2004-12-19,2004-12-13,2004-12-19,0
2004-12-20/2004-12-26,2004-12-20,2004-12-26,0
2004-12-27/2005-01-02,2004-12-27,2005-01-02,0
2005-01-03/2005-01-09,2005-01-03,2005-01-09,0
2005-01-10/2005-01-16,2005-01-10,2005-01-16,0
2005-01-17/2005-01-23,2005-01-17,2005-01-23,1
2005-01-24/2005-01-30,2005-01-24,2005-01-30,1
2005-01-31/2005-02-06,2005-01-31,2005-02-06,0
2005-02-07/2005-02-13,2005-02-07,2005-02-13,1
2005-02-14/2005-02-20,2005-02-14,2005-02-20,2
2005-02-21/2005-02-27,2005-02-21,2005-02-27,0
2005-02-28/2005-03-06,2005-02-28,2005-03-06,0
2005-03-07/2005-03-13,2005-03-07,2005-03-13,0
2005-03-14/2005-03-20,2005-03-14,2005-03-20,2
2005-03-21/2005-03-27,2005-03-21,2005-03-27,4
2005-03-28/2005-04-03,2005-03-28,2005-04-03,3
2005-04-04/2005-04-10,2005-04-04,2005-04-10,2
2005-04-11/2005-04-17,2005-04-11,2005-04-17,1
2005-04-18/2005-04-24,2005-04-18,2005-04-24,0
2005-04-25/2005-05-01,2005-04-25,2005-05-01,1
2005-05-02/2005-05-08,2005-05-02,2005-05-08,0
2005-05-09/2005-05-15,2005-05-09,2005-05-15,0
2005-05-16/2005-05-22,2005-05-16,2005-05-22,0
2005-05-23/2005-05-29,2005-05-23,2005-05-29,0
2005-05-30/2005-06-05,2005-05-30,2005-06-05,2
2005-06-06/2005-06-12,2005-06-06,2005-06-12,0
2005-06-13/2005-06-19,2005-06-13,2005-06-19,0
2005-06-20/2005-06-26,2005-06-20,2005-06-26,0
2005-06-27/2005-07-03,2005-06-27,2005-07-03,0
2005-07-04/2005-07-10,2005-07-04,2005-07-10,1
2005-07-11/2005-07-17,2005-07-11,2005-07-17,0
2005-07-18/2005-07-24,2005-07-18,2005-07-24,0
2005-07-25/2005-07-31,2005-07-25,2005-07-31,0
2005-08-01/2005-08-07,2005-08-01,2005-08-07,0
2005-08-08/2005-08-14,2005-08-08,2005-08-14,0
2005-08-15/2005-08-21,2005-08-15,2005-08-21,1
2005-08-22/2005-08-28,2005-08-22,2005-08-28,0
2005-08-29/2005-09-04,2005-08-29,2005-09-04,1
2005-09-05/2005-09-11,2005-09-05,2005-09-11,0
2005-09-12/2005-09-18,2005-09-12,2005-09-18,0
2005-09-19/2005-09-25,2005-09-19,2005-09-25,1
2005-09-26/2005-10-02,2005-09-26,2005-10-02,0
2005-10-03/2005-10-09,2005-10-03,2005-10-09,0
2005-10-10/2005-10-16,2005-10-10,2005-10-16,0
2005-10-17/2005-10-23,2005-10-17,2005-10-23,0
2005-10-24/2005-10-30,2005-10-24,2005-10-30,1
2005-10-31/2005-11-06,2005-10-31,2005-11-06,1
2005-11-07/2005-11-13,2005-11-07,2005-11-13,0
2005-11-14/2005-11-20,2005-11-14,2005-11-20,0
2005-11-21/2005-11-27,2005-11-21,2005-11-27,0
2005-11-28/2005-12-04,2005-11-28,2005-12-04,1
2005-12-05/2005-12-11,2005-12-05,2005-12-11,0
2005-12-12/2005-12-18,2005-12-12,2005-12-18,0
2005-12-19/2005-12-25,2005-12-19,2005-12-25,0
2005-12-26/2006-01-01,2005-12-26,2006-01-01,0
2006-01-02/2006-01-08,2006-01-02,2006-01-08,0
2006-01-09/2006-01-15,2006-01-09,2006-01-15,1
2006-01-16/2006-01-22,2006-01-16,2006-01-22,1
2006-01-23/2006-01-29,2006-01-23,2006-01-29,0
2006-01-30/2006-02-05,2006-01-30,2006-02-05,0
2006-02-06/2006-02-12,2006-02-06,2006-02-12,3
2006-02-13/2006-02-19,2006-02-13,2006-02-19,0
2006-02-20/2006-02-26,2006-02-20,2006-02-26,0
2006-02-27/2006-03-05,2006-02-27,2006-03-05,0
2006-03-06/2006-03-12,2006-03-06,2006-03-12,0
2006-03-13/2006-03-19,2006-03-13,2006-03-19,0
2006-03-20/2006-03-26,2006-03-20,2006-03-26,5
2006-03-27/2006-04-02,2006-03-27,2006-04-02,4
2006-04-03/2006-04-09,2006-04-03,2006-04-09,1
2006-04-10/2006-04-16,2006-04-10,2006-04-16,1
2006-04-17/2006-04-23,2006-04-17,2006-04-23,0
2006-04-24/2006-04-30,2006-04-24,2006-04-30,0
2006-05-01/2006-05-07,2006-05-01,2006-05-07,0
2006-05-08/2006-05-14,2006-05-08,2006-05-14,0
2006-05-15/2006-05-21,2006-05-15,2006-05-21,0
2006-05-22/2006-05-28,2006-05-22,2006-05-28,0
2006-05-29/2006-06-04,2006-05-29,2006-06-04,1
2006-06-05/2006-06-11,2006-06-05,2006-06-11,1
2006-06-12/2006-06-18,2006-06-12,2006-06-18,0
2006-06-19/2006-06-25,2006-06-19,2006-06-25,0
2006-06-26/2006-07-02,2006-06-26,2006-07-02,1
2006-07-03/2006-07-09,2006-07-03,2006-07-09,0
2006-07-10/2006-07-16,2006-07-10,2006-07-16,0
2006-07-17/2006-07-23,2006-07-17,2006-07-23,0
2006-07-24/2006-07-30,2006-07-24,2006-07-30,0
2006-07-31/2006-08-06,2006-07-31,2006-08-06,0
2006-08-07/2006-08-13,2006-08-07,2006-08-13,1
2006-08-14/2006-08-20,2006-08-14,2006-08-20,0
2006-08-21/2006-08-27,2006-08-21,2006-08-27,1
2006-08-28/2006-09-03,2006-08-28,2006-09-03,0
2006-09-04/2006-09-10,2006-09-04,2006-09-10,1
2006-09-11/2006-09-17,2006-09-11,2006-09-17,0
2006-09-18/2006-09-24,2006-09-18,2006-09-24,0
2006-09-25/2006-10-01,2006-09-25,2006-10-01,0
2006-10-02/2006-10-08,2006-10-02,2006-10-08,0
2006-10-09/2006-10-15,2006-10-09,2006-10-15,1
2006-10-16/2006-10-22,2006-10-16,2006-10-22,0
2006-10-23/2006-10-29,2006-10-23,2006-10-29,1
2006-10-30/2006-11-05,2006-10-30,2006-11-05,0
2006-11-06/2006-11-12,2006-11-06,2006-11-12,0
2006-11-13/2006-11-19,2006-11-13,2006-11-19,1
2006-11-20/2006-11-26,2006-11-20,2006-11-26,0
2006-11-27/2006-12-03,2006-11-27,2006-12-03,0
2006-12-04/2006-12-10,2006-12-04,2006-12-10,0
2006-12-11/2006-12-17,2006-12-11,2006-12-17,0
2006-12-18/2006-12-24,2006-12-18,2006-12-24,0
2006-12-25/2006-12-31,2006-12-25,2006-12-31,1
2007-01-01/2007-01-07,2007-01-01,2007-01-07,0
2007-01-08/2007-01-14,2007-01-08,2007-01-14,1
2007-01-15/2007-01-21,2007-01-15,2007-01-21,0
2007-01-22/2007-01-28,2007-01-22,2007-01-28,0
2007-01-29/2007-02-04,2007-01-29,2007-02-04,2
2007-02-05/2007-02-11,2007-02-05,2007-02-11,1
2007-02-12/2007-02-18,2007-02-12,2007-02-18,0
2007-02-19/2007-02-25,2007-02-19,2007-02-25,0
2007-02-26/2007-03-04,2007-02-26,2007-03-04,0
2007-03-05/2007-03-11,2007-03-05,2007-03-11,1
2007-03-12/2007-03-18,2007-03-12,2007-03-18,1
2007-03-19/2007-03-25,2007-03-19,2007-03-25,5
2007-03-26/2007-04-01,2007-03-26,2007-04-01,2
2007-04-02/2007-04-08,2007-04-02,2007-04-08,2
2007-04-09/2007-04-15,2007-04-09,2007-04-15,0
2007-04-16/2007-04-22,2007-04-16,2007-04-22,0
2007-04-23/2007-04-29,2007-04-23,2007-04-29,0
2007-04-30/2007-05-06,2007-04-30,2007-05-06,0
2007-05-07/2007-05-13,2007-05-07,2007-05-13,0
2007-05-14/2007-05-20,2007-05-14,2007-05-20,0
2007-05-21/2007-05-27,2007-05-21,2007-05-27,0
2007-05-28/2007-06-03,2007-05-28,2007-06-03,0
2007-06-04/2007-06-10,2007-06-04,2007-06-10,2
2007-06-11/2007-06-17,2007-06-11,2007-06-17,0
2007-06-18/2007-06-24,2007-06-18,2007-06-24,1
2007-06-25/2007-07-01,2007-06-25,2007-07-01,0
2007-07-02/2007-07-08,2007-07-02,2007-07-08,0
2007-07-09/2007-07-15,2007-07-09,2007-07-15,0
2007-07-16/2007-07-22,2007-07-16,2007-07-22,0
2007-07-23/2007-07-29,2007-07-23,2007-07-29,1
2007-07-30/2007-08-05,2007-07-30,2007-08-05,0
2007-08-06/2007-08-12,2007-08-06,2007-08-12,1
2007-08-13/2007-08-19,2007-08-13,2007-08-19,0
2007-08-20/2007-08-26,2007-08-20,2007-08-26,0
2007-08-27/2007-09-02,2007-08-27,2007-09-02,1
2007-09-03/2007-09-09,2007-09-03,2007-09-09,0
2007-09-10/2007-09-16,2007-09-10,2007-09-16,0
2007-09-17/2007-09-23,2007-09-17,2007-09-23,0
2007-09-24/2007-09-30,2007-09-24,2007-09-30,0
2007-10-01/2007-10-07,2007-10-01,2007-10-07,1
2007-10-08/2007-10-14,2007-10-08,2007-10-14,1
2007-10-15/2007-10-21,2007-10-15,2007-10-21,0
2007-10-22/2007-10-28,2007-10-22,2007-10-28,0
2007-10-29/2007-11-04,2007-10-29,2007-11-04,0
2007-11-05/2007-11-11,2007-11-05,2007-11-11,1
2007-11-12/2007-11-18,2007-11-12,2007-11-18,0
2007-11-19/2007-11-25,2007-11-19,2007-11-25,0
2007-11-26/2007-12-02,2007-11-26,2007-12-02,0
2007-12-03/2007-12-09,2007-12-03,2007-12-09,0
2007-12-10/2007-12-16,2007-12-10,2007-12-16,0
2007-12-17/2007-12-23,2007-12-17,2007-12-23,1
2007-12-24/2007-12-30,2007-12-24,2007-12-30,1
2007-12-31/2008-01-06,2007-12-31,2008-01-06,0
2008-01-07/2008-01-13,2008-01-07,2008-01-13,0
2008-01-14/2008-01-20,2008-01-14,2008-01-20,2
2008-01-21/2008-01-27,2008-01-21,2008-01-27,0
2008-01-28/2008-02-03,2008-01-28,2008-02-03,0
2008-02-04/2008-02-10,2008-02-04,2008-02-10,0
2008-02-11/2008-02-17,2008-02-11,2008-02-17,1
2008-02-18/2008-02-24,2008-02-18,2008-02-24,0
2008-02-25/2008-03-02,2008-02-25,2008-03-02,1
2008-03-03/2008-03-09,2008-03-03,2008-03-09,2
2008-03-10/2008-03-16,2008-03-10,2008-03-16,1
2008-03-17/2008-03-23,2008-03-17,2008-03-23,5
2008-03-24/2008-03-30,2008-03-24,2008-03-30,1
2008-03-31/2008-04-06,2008-03-31,2008-04-06,2
2008-04-07/2008-04-13,2008-04-07,2008-04-13,0
2008-04-14/2008-04-20,2008-04-14,2008-04-20,0
2008-04-21/2008-04-27,2008-04-21,2008-04-27,0
2008-04-28/2008-05-04,2008-04-28,2008-05-04,0
2008-05-05/2008-05-11,2008-05-05,2008-05-11,0
2008-05-12/2008-05-18,2008-05-12,2008-05-18,0
2008-05-19/2008-05-25,2008-05-19,2008-05-25,0
2008-05-26/2008-06-01,2008-05-26,2008-06-01,0
2008-06-02/2008-06-08,2008-06-02,2008-06-08,3
2008-06-09/2008-06-15,2008-06-09,2008-06-15,0
2008-06-16/2008-06-22,2008-06-16,2008-06-22,0
2008-06-23/2008-06-29,2008-06-23,2008-06-29,0
2008-06-30/2008-07-06,2008-06-30,2008-07-06,0
2008-07-07/2008-07-13,2008-07-07,2008-07-13,0
2008-07-14/2008-07-20,2008-07-14,2008-07-20,1
2008-07-21/2008-07-27,2008-07-21,2008-07-27,0
2008-07-28/2008-08-03,2008-07-28,2008-08-03,1
2008-08-04/2008-08-10,2008-08-04,2008-08-10,0
2008-08-11/2008-08-17,2008-08-11,2008-08-17,1
2008-08-18/2008-08-24,2008-08-18,2008-08-24,0
2008-08-25/2008-08-31,2008-08-25,2008-08-31,0
2008-09-01/2008-09-07,2008-09-01,2008-09-07,0
2008-09-08/2008-09-14,2008-09-08,2008-09-14,0
2008-09-15/2008-09-21,2008-09-15,2008-09-21,0
2008-09-22/2008-09-28,2008-09-22,2008-09-28,1
2008-09-29/2008-10-05,2008-09-29,2008-10-05,1
2008-10-06/2008-10-12,2008-10-06,2008-10-12,0
2008-10-13/2008-10-19,2008-10-13,2008-10-19,0
2008-10-20/2008-10-26,2008-10-20,2008-10-26,1
2008-10-27/2008-11-02,2008-10-27,2008-11-02,0
2008-11-03/2008-11-09,2008-11-03,2008-11-09,0
2008-11-10/2008-11-16,2008-11-10,2008-11-16,0
2008-11-17/2008-11-23,2008-11-17,2008-11-23,0
2008-11-24/2008-11-30,2008-11-24,2008-11-30,0
2008-12-01/2008-12-07,2008-12-01,2008-12-07,0
2008-12-08/2008-12-14,2008-12-08,2008-12-14,1
2008-12-15/2008-12-21,2008-12-15,2008-12-21,1
2008-12-22/2008-12-28,2008-12-22,2008-12-28,0
2008-12-29/2009-01-04,2008-12-29,2009-01-04,0
2009-01-05/2009-01-11,2009-01-05,2009-01-11,2
2009-01-12/2009-01-18,2009-01-12,2009-01-18,0
